Photo,Name,Links,Location,Season,Type,Management,Fee,Amenities,Features,Surface,Trail,Sports,Favorite,Difficulty,Motorized,Notes,Class3,Source,Status,TrailT
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1146 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1146;","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1147 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1147;","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1153 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1153;","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1150 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1150;","Summer Sports: ATVing, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1140A Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1140A;","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 196 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 196;","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 198 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 198;","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 102 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 102;","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Beach Loop  Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,Features: Ocean Access,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This loop goes through the park and along the beach.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Beach Loop  Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,Features: Ocean Access,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This loop goes through the park and along the beach.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Interpretive Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,Features: Interpretive Signs,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This trail winds through the wooded area of Kopachuck State Park.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Middle Loop Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This trail winds through the wooded area of Kopachuck State Park.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">North Loop Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This trail winds through the wooded area of Kopachuck State Park.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Upper Loop Trail</a>",,Kopachuck State Park,Season: Year round (Open),Official Trail,Owner: WA State Parks,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,This trail winds through the wooded area of Kopachuck State Park.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
